old_url;new_url;old_name;new_name
/podarki_i_syveniri_k_23_fevralya/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_i_suveniry_k_23_fevralya/;Подарки и сувениры к 23 февраля;Подарки и сувениры к 23 февраля
/podarochnie_nabori_k_23_fevralya/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_i_suveniry_k_23_fevralya/podarochnye_nabory_k_23_fevralya/;Подарочные наборы к 23 февраля;Подарочные наборы к 23 февраля
/podarki_k_23_fevralya/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_i_suveniry_k_23_fevralya/podarki_k_23_fevralya/;Подарки к 23 февраля;Подарки к 23 февраля
/syveniri_k_23_fevralya/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_i_suveniry_k_23_fevralya/suveniry_k_23_fevralya/;Сувениры к 23 февраля;Сувениры к 23 февраля
/zonti/;/catalog/zonty/;Зонты;Зонты
/zonti-trost/;/catalog/zonty/zonty_trost/;Зонты-трость;Зонты-трость
/zonti_originalnie/;/catalog/zonty/zonty_originalnye/;Зонты оригинальные;Зонты оригинальные
/zonti_jenskie/;/catalog/zonty/zonty_zhenskie/;Зонты женские;Зонты женские
/zonti_myjskie/;/catalog/zonty/zonty_muzhskie/;Зонты мужские;Зонты мужские
/zonti_skladnie/;/catalog/zonty/zonty_skladnye/;Зонты складные;Зонты складные
/dorogie_zonti/;/catalog/zonty/dorogie_zonty/;Дорогие зонты;Дорогие зонты
/ejednevniki/;/catalog/ezhednevniki_i_bloknoty/;Ежедневники и блокноты;Ежедневники и блокноты
/ezhednevniki-po-individualnomu-dizajnu1/;;Ежедневники по индивидуальному дизайну;
/brunovisconti/;/catalog/ezhednevniki_i_bloknoty/brunovisconti/;BrunoVisconti;BrunoVisconti
/infolio/;/catalog/ezhednevniki_i_bloknoty/infolio/;Infolio;Infolio
/portobello_trend/;/catalog/ezhednevniki_i_bloknoty/portobello_trend/;Portobello Trend;Portobello Trend
/bloknoti/;/catalog/ezhednevniki_i_bloknoty/bloknoty/;Блокноты;Блокноты
/ejednevniki_happy_book/;/catalog/ezhednevniki_i_bloknoty/ezhednevniki_happy_book/;Ежедневники Happy Book;Ежедневники Happy Book
